	2	3	4	5	6	7	8	9	10	11	12	13	14
1983	18	2585	13616	42602	19028	12044	14701	8934	6341	1018	248	90	41
1984	3	782	14871	31760	38624	12503	7246	8910	4227	2536	451	146	48
1985	0	650	14824	36614	33922	28006	7050	3836	5162	2905	1681	254	107
1986	1	831	15219	44168	45869	26025	14722	3104	2000	1977	1101	574	116
1987	42	2329	9217	32340	49061	28469	19505	5818	1346	676	873	391	200
1988	25	2779	14651	20184	47917	45725	18608	9026	4337	774	422	366	223
1989	8	1696	17639	21150	25212	38708	28499	8696	3640	1695	572	244	180
1990	58	7693	40557	36410	22695	16390	17940	9156	2865	1084	478	103	98
1991	35	3111	31654	53805	29553	9064	6164	4745	1696	641	250	88	39
1992	0	430	3860	14535	12211	4526	1372	376	199	104	18	9	4
1993	0	940	4993	3343	1940	700	147	21	0	0	0	0	0
1994	0	105	379	575	177	74	22	2	0	0	0	0	0
1995	0	12	41	93	76	25	10	2	0	0	0	0	0
1996	1	35	157	304	401	131	24	7	2	0	0	0	0
1997	0	12	39	92	95	148	35	5	2	0	0	0	0
1998	3	96	229	395	689	384	236	74	10	5	2	1	0
1999	7	70	238	638	795	1157	370	253	52	13	3	0	0
2000	5	141	258	419	437	328	294	151	136	33	5	3	1
2001	10	249	778	710	611	365	190	272	80	117	33	3	1
2002	6	166	296	399	335	235	124	77	113	50	52	10	2
2003	0	9	11	19	53	44	28	22	9	32	20	27	7
2004	1	10	24	33	47	59	32	14	7	3	5	2	2
2005	0	16	27	137	182	101	51	19	7	4	2	2	1
2006	0	12	159	307	381	168	79	30	13	5	2	1	2
2007	0	12	44	357	423	178	69	21	8	5	2	1	1
2008	0	11	84	172	649	422	147	37	12	6	2	1	1
2009	0	25	96	124	170	410	248	68	15	5	1	1	0
2010	3	18	72	122	202	200	329	143	34	6	1	1	0
2011	4	27	74	92	186	247	188	202	78	17	2	1	0
2012	3	38	63	165	248	271	228	117	131	43	7	1	0
2013	0	22	137	287	432	357	231	153	75	55	24	6	1
2014	8	36	42	232	438	461	211	115	69	34	38	12	1
2015	0	3	26	87	450	397	266	115	52	49	21	21	4


